"review.tm","Unnamed..0","drugName","condition","review","rating","date","usefulCount","score","positive","negative"
"complaint birth control bad tension headaches fatigue ill take weight gain acne fortunately birth control doesnt cause also made cysts go away free really cheap insurance recommend anyone",124861,"Tri-Previfem","Birth Control","""The only complaint I have about this birth control is bad tension headaches and fatigue, but I&#039;ll take that over weight gain and acne which fortunately this birth control doesn&#039;t cause at all! it also made my cysts go away and is free or really cheap with insurance. would recommend to anyone!""",9,"May 18, 2014",13,-2,4,6
"cryselle changed life went super heavy periods unbearable cramps lasted days light painless periods last days mood swings gone havent side effects besides decreased libido honestly dont mind",5377,"Cryselle","Birth Control","""Cryselle changed my life. I went from super heavy periods with unbearable cramps that lasted 6-7 days to light, painless periods that last 3 days. My mood swings are gone and I haven&#039;t had any side effects besides a decreased libido which I honestly don&#039;t mind.""",9,"January 22, 2017",2,1,2,1
"cryselle first birth control pill prescribed gynecologist little two weeks advised make switch different pill serious nausea even throwing one occasion also seemed make migraines worse chronic migraine begin amp consistent spotting amp mood swings however notice slight improvement acne amp weight gain im sure everyones body works differently body reacted cryselle",5335,"Cryselle","Birth Control","""Cryselle was the first birth control pill prescribed to me by my gynecologist. I was only on it for a little over two weeks when she advised me to make a switch to a different pill. I had some serious nausea, even throwing up on one occasion. It also seemed to make my migraines worse (I have chronic migraine to begin with) &amp; I had some consistent spotting &amp; mood swings. I did however notice a slight improvement in my acne &amp; did not have any weight gain. I&#039;m sure that everyone&#039;s body works differently but this is how my body reacted to Cryselle.""",5,"August 12, 2015",1,2,4,2
"currently taking gianvi happy side effects ive pill months main issue month spotting heard people tend spot pill hoping just body getting used pill continues will switch another pill experiencing many mood swings migraines like people noticing slight change willingness things",111931,"Gianvi","Birth Control","""I am currently taking Gianvi and not too happy with some of the side effects. I&#039;ve been on the pill for about 4-5 months and the main issue I have is for all of this month I have been spotting. I heard people tend to spot while on this pill and I am hoping it is just my body getting used to this pill. If this continues I will switch to another pill. I am not experiencing as many mood swings or migraines like some of the other people but I am noticing a slight change in my willingness to do things.""",6,"June 10, 2011",1,2,3,1
"currently taking last second pack feel like sex drive lost im sure particular brand ever since started taking felt desire sex soon going consult doctor switch also gives period week like pretty heavy bleeding first period guessing ill next cycle works differently everyone doesnt seem right choice",124865,"Tri-Previfem","Birth Control","""I am currently taking the last of my second pack and I feel like my sex drive has been lost... I&#039;m not sure if it&#039;s this particular brand or not, but ever since I started taking it, I have felt no desire for sex.  I am soon going to consult with my doctor to switch,  Also, it gives you your period for a week which I do not like.. Had pretty heavy bleeding my first period, guessing I&#039;ll have the same with my next cycle.  It works differently on everyone, but for me, it doesn&#039;t seem to be the right choice.""",7,"March 2, 2014",5,3,5,2
"daughter using beyaz months developed bruises swollen lumps joint pain finally needed use crutches walk saw many doctors none knew decided go beyaz symptoms slowly disappeared months later gone thankfully nightmare",6738,"Beyaz","Birth Control","""My daughter, after using Beyaz for 6 months, developed bruises, swollen lumps, joint pain, and finally she needed to use crutches to walk. We saw many doctors, but none knew what to do. So on our own, we decided she should go off off Beyaz, and the symptoms slowly disappeared. 9 months later, they are gone, thankfully, but it was a nightmare!""",1,"July 29, 2016",3,-6,0,6
"day beyaz im previously taking femcon discontinued severe anxiety related birth control hard tell sometimes symptoms pill just took year break birth control starting beyaz far mixed feelings feeling panicky moody im sure product birth control gad also went back birth control skin bothersome acne developing pretty severe headaches also feeling nauseous doctor said symptoms will go away time now going stick see",6785,"Beyaz","Birth Control","""On day 7 of Beyaz.  I&#039;m 22, and I was previously taking Femcon.  I discontinued because of severe anxiety that could or could not have been related to the birth control (it&#039;s hard to tell sometimes if the symptoms are the pill, or just you).  I took a year break off of birth control before starting Beyaz.  So far, I have mixed feelings.  I have been feeling panicky, and moody, but again, I&#039;m not sure if that is a product of the birth control, or my GAD.  I also went back on birth control for my skin, because I have bothersome acne.  I have been developing pretty severe headaches, and I have also been feeling nauseous.  My doctor said these symptoms will go away with time, so for now I am going to stick it out and see.""",5,"December 14, 2011",5,-11,1,12
"definitely works ive six months become pregnant slight nausea change irritability overall happy skin also flawless",124906,"Tri-Previfem","Birth Control","""It definitely works. I&#039;ve been on it for six months and have not become pregnant. There was slight nausea and some change in irritability but I am overall happy with it. My skin is also flawless!""",9,"March 17, 2015",6,3,3,0
"dr put generess fe tried loestrin loovral impressed lower dose pill worked first months experienced spotting mid month wasnt unbearable eventually subsided periods became regular light still last full week light enough doesnt hinder experience little cramping mood change feel hungry alot libido better however miserable experience nuvaring calling doctor going back generess fe far favorite birth control pill",131422,"Generess Fe","Birth Control","""My Dr put me on Generess Fe after I had tried Loestrin 24 and Lo-Ovral. I was impressed that a lower dose pill worked for me. The first 5 or 6 months I experienced some spotting mid month, but it wasn&#039;t unbearable and eventually subsided. My periods became very regular and light. They still last a full week, but are light enough that it doesn&#039;t hinder me. I experience very little cramping and mood change. I feel hungry alot and my libido could be better. However, after having a miserable experience with Nuvaring, I am calling my doctor and going back on Generess Fe. By far, this has been my favorite birth control pill.""",9,"November 30, 2013",8,1,5,4
"ending th day taking bc ive extremely nauseous since yesterday didnt even go work today weak sick feeling bloated constipated angry nooooo fuse yelling kids upset hate bc pills",6272,"Ocella","Birth Control","""Ending my 4th day taking this BC and I&#039;ve been extremely nauseous since yesterday, didn&#039;t even go to work today. Weak. So sick feeling, bloated, constipated, angry and NOOOOO fuse. Yelling at my kids. So upset over this, I hate BC pills.""",1,"September 28, 2017",0,-5,1,6
"experience started pretty good sronyx honest bad trickled subtly didnt even realize anything gone wrong hit full force periods used months apart extremely painful finally hit sronyx eventually started fix although first packs bled constantly way stopped went average day cycle now day cycle every period number gets lower anxiety got control point needed professional help became physically ill migraines nausea required hospital stopped taking pill today will seeing doctor first thing worth",43123,"Sronyx","Birth Control","""My experience started out pretty good with sronyx and to be honest the bad trickled in so subtly that I didn&#039;t even realize anything had gone wrong until it hit me full force.
My periods used to be 2-4 months apart, but extremely painful when they finally hit. 
Sronyx eventually started to fix that, although my first 2 packs I bled constantly all the way through until it stopped.
I went from an average 76 day cycle to now a 17 day cycle and every period that number gets lower.
My anxiety got out of control to the point where I needed professional help and I became physically ill with migraines and nausea that required hospital.
I have stopped taking the pill today and will be seeing my doctor first thing.
It&#039;s not worth it.""",3,"February 4, 2017",1,0,4,4
"far using birth control month weeks now first birth control im ever since period birth control ive bad crapping vomiting sometimes nausea also irregular periods last days sometimes now birth control regular periods along help iron pills prescribed obgyn breakouts throwing nothing slight headaches first week use gone now babies dont drink smoke",43151,"Sronyx","Birth Control","""So far I have been using this birth control for 1 month 2 weeks now. This is my first birth control. I&#039;m 21 and ever since my period (before birth control) I&#039;ve had bad crapping, vomiting sometimes, and nausea. Also I had irregular periods that last 10 days sometimes more. Now with this birth control I have regular periods (along with the help of iron pills prescribed by my obgyn) . I have no breakouts. No throwing up nothing. Did have slight headaches in the first week of use but it&#039;s gone now and NO BABIES.. (don&#039;t drink or smoke).""",9,"January 27, 2014",12,-5,0,5
"find birth control loseasonique will already hormones system will less side effects",43700,"LoSeasonique","Birth Control","""I find if you were on a birth control before Loseasonique you will already have the hormones in your system and will have less side effects!""",10,"August 2, 2011",6,0,0,0
"first didnt problems nausea weight gain wasnt really change amount acne told help reduce cramps amount blood period actually exact opposite cramps horrible stomach quite swollen length period increased blood flow horribly heavy told happen occasion rare bit unfortunate reaction least prevented pregnancy",124709,"Tri-Previfem","Birth Control","""At first, I didn&#039;t have any problems with this. No nausea, no weight gain, there wasn&#039;t really a change in the amount of acne I had. I was told it would help reduce cramps and amount of blood during my period, but it actually did the exact opposite. Cramps were horrible, my stomach was quite swollen, and the length of my period was increased and the blood flow was horribly heavy. I was told it could happen on occasion, but it was rare, so it&#039;s a bit unfortunate I had that reaction to it. At least it prevented pregnancy.""",6,"March 10, 2017",0,-3,1,4
"first month name brand used lessina used one year pharmacist said pill different name",43170,"Sronyx","Birth Control","""This is my first month on this name brand. Before I used Lessina, which I used for one year and my pharmacist said it&#039;s the same pill under a different name. 

I have much lighter periods with almost non-existent cramps. My periods are 1 day shorter. I do have a light PMS for about a week before hand, which doesn&#039;t thrill me, but it&#039;s worth the trade off. I have no emotional side effects, and my sex drive seems the same. I still have good vaginal lubrication, which was an issue for me with a different birth control, so I am happy about that. My weight has been up and down my whole life, so I can&#039;t blame the birth control.

I&#039;m a happy camper with Sronyx. I wish it was cheaper, though. """,10,"April 14, 2013",8,0,0,0
"first month pill breakthrough bleeding basically whole month also terrible stomach feeling second month bleeding weird stomach feelings just switched lower dose pill due breasts growing sizes extremely swollen already d didnt want bigger also lost sex drive completely happy emotional changes fact felt happier overall pill wasnt terrible reviews ive read made everyone different",124905,"Tri-Previfem","Birth Control","""The first month of this pill I had breakthrough bleeding basically the whole month. I also had this terrible stomach feeling. The second month I had no bleeding and no weird stomach feelings. I just switched off to a lower dose pill due to my breasts growing 2 sizes and being extremely swollen (I was already a D I didn&#039;t want them any bigger!) and also I lost my sex drive completely. Happy to have had no emotional changes at all (in fact, I felt happier). Overall, this pill wasn&#039;t as terrible as all the reviews I&#039;ve read made it out to be, but everyone is different.""",7,"March 19, 2015",3,-4,3,7
"first month pill non stop acne chin like never also period days continued spot another days dont weigh obvious ive gained weight well dont even get started top mood swings never problems orthocept even though one month may balance months think will wait find",37899,"Reclipsen","Birth Control","""After my first month on this pill, I have had non stop acne on my chin like I have never had before. Also, I had my period (5 days) and then continued to spot for another 7 days. I don&#039;t weigh myself but it is obvious I&#039;ve gained weight as well. Don&#039;t even get me started about my over the top mood swings. I never had these problems when I was on 
Orthocept. Even though it has been only one month and it may balance out after a few months, I do not think I will wait to find out.""",4,"March 10, 2014",9,3,4,1
"first pack say happy changed loestrin actually still days left light spotting first days thats think really sticking time every day key limiting side effects like within hour everyday real breakouts chest little face normally happens anytime changed pills think tried everything best",43708,"LoSeasonique","Birth Control","""I am on my first pack and I have to say I am so happy I changed from Loestrin 24 (I actually still had 7 days left). I have had light spotting for the first few days and that&#039;s it. I think really sticking to the same time every day is the key to limiting side effects, like within the hour everyday for real. Some breakouts on my chest and a little on my face but that normally happens anytime. I changed pills. I think I have tried everything that is out there and this is the best.""",8,"June 14, 2011",3,3,3,0
"first put trisprintec worked wonderfully pharmacy switched triprevifem ive good news bad news pill good news ive gotten pregnant bad news switched ive realized shocking change mood im much depressed developed case anxiety experienced several anxiety attacks switched pill im contemplating asking doctor change prescription wish get pregnant take pill may undergo dramatic changes mood",124859,"Tri-Previfem","Birth Control","""I was first put in Tri-Sprintec, which worked wonderfully for me, but my pharmacy switched me to Tri-Previfem. I&#039;ve good news and bad news about this pill. The good news: I&#039;ve not gotten pregnant. The bad news: after being switched over, I&#039;ve realized a shocking change in my mood. I&#039;m much more depressed, and I have developed a case of anxiety. I have experienced several anxiety attacks after being switched to this pill. I&#039;m contemplating asking my doctor to change my prescription. If you wish to not get pregnant, then take this pill, but you may undergo dramatic changes in your mood.""",5,"July 10, 2014",28,-3,4,7
"first started reclipsen year ago months experienced extreme mood swings emotional sensitive everythinganything im emotional person also get frequent headaches decided switch generic similar reclipsen alleviated side effects started taking reclipsen month annual check doctor refilled name brand im week im side effects major melt made question really going realized must birth control im going back generic asap weight gain cramping acne issues taking reclipsen mood swings headaches",37782,"Reclipsen","Birth Control","""I first started with Reclipsen a year ago for 2-3 months and experienced extreme mood swings. Very emotional and sensitive to everything/anything. I&#039;m not an emotional person. I also did get frequent headaches. I decided to switch to a generic (similar to Reclipsen) which alleviated all side effects. I started taking Reclipsen again this month after my annual check up (my doctor refilled for name brand) I&#039;m on week 2 and I&#039;m having the same side effects. I had a major melt down which made me question what is really going on? I realized it must be the birth control. I&#039;m going back to generic asap. I had no weight gain, cramping nor acne issues while taking Reclipsen only mood swings and headaches.""",10,"December 28, 2015",1,-2,2,4
"first started using reclipsen year ago first thing noticed libido noticeably reduced bit annoying overall emotions dulled bit indifferent things although dont particularly mind might breaking point someone else tried enskyce bit ended switching back due side effects reclipsen works better keeps periods light regular ive never issue weight gain acne thats something considered well im happy",37767,"Reclipsen","Birth Control","""I first started using Reclipsen about a year ago. The first thing that I noticed was that my libido was noticeably reduced, (which was a bit annoying,) and my overall emotions were dulled a bit, so that I was more indifferent to things than before. (Although I don&#039;t particularly mind this, that might be a breaking point for someone else.) I tried Enskyce for a bit, and ended up switching back due to side effects. Reclipsen works better for me, and keeps my periods light and regular. I&#039;ve never had an issue with weight gain or acne, so that&#039;s something to be considered, as well. All in all, I&#039;m happy with it.""",9,"July 6, 2014",6,1,5,4
"first time started using birth control started different pill cant remember name stopped second month due crazy mood swings worse cramps period went back doctor got prescribed sronyx using three months now yet experience bad side effect love pill highly recommend headaches cramps mood swings",43189,"Sronyx","Birth Control","""The first time I started using birth control I started on a different pill which I can&#039;t remember the name but stopped after the second month due to crazy mood swings and worse cramps during my period. When I went back to the doctor I got prescribed Sronyx and I have been using it for three months now and I have yet to experience a bad side effect. I love this pill! I highly recommend it . No headaches, cramps, or mood swings. """,10,"July 25, 2011",10,-2,2,4
"found triprevifem effective contraceptive boyfriend however recently started getting sudden severe headaches cases body aches cant leave room function happen usually just sleep really hard college student needs get work done get sudden severe headaches",124881,"Tri-Previfem","Birth Control","""I found Tri-Previfem to be an effective contraceptive for my boyfriend and I; however, I have recently started getting sudden and severe headaches, and in some cases body aches. I can&#039;t leave my room or function when these happen so I usually just sleep. It&#039;s really hard being a college student who needs to get work done when I get sudden severe headaches. 

On the bright side, I&#039;ve noticed no weight gain and my skin cleared up. My periods also became regular.""",4,"February 25, 2013",16,-4,2,6
"gain weight seen slight improvement skin overall never really hadhave acne though one thing noticed anxiety moodiness depression completely control im either suffering skyhigh anxiety reason im fighting back tears reason also sex drive completely plummeted mean absolutely zero late twenties real struggle long term relationship definitely pill",111771,"Gianvi","Birth Control","""I did not gain any weight, and have seen a slight improvement in my skin overall ( I never really had/have acne though). One thing that I have noticed is my anxiety and moodiness (depression) is completely out of control. I&#039;m either suffering from sky-high anxiety for no reason, or I&#039;m fighting back tears for no reason! Also, my sex drive has completely plummeted, I mean from 10 to absolutely ZERO. I am in my late twenties and this has been a real struggle with my long term relationship. Definitely not the pill for me.""",5,"December 11, 2015",1,-3,2,5
"gave blood clots leg silent killer work weeks months expensive medication pain couldnt walk couldnt take care children beware",37829,"Reclipsen","Birth Control","""GAVE ME BLOOD CLOTS IN MY LEG!!!
This is a silent killer !!! Out of work for 2 weeks months of expensive medication and the pain couldn&#039;t walk couldn&#039;t take care of my children !!
Beware !!!!""",1,"September 6, 2016",2,-2,2,4
"generic brand original bc changed st month didnt notice changes recently months ive getting headaches horrible nausea stomach cramps amp period gone back longer shorter like first pill ive never one feel unmotivated lethargic depressed anxious recently ive experiencing things doubt making stress induced nausea worse just generally felt bad went doctor multiple blood tests taken tests came back abnormalities leading realize change birth control ups worked breast tenderness thats",5326,"Cryselle","Birth Control","""This was the generic brand my original bc was changed to. The 1st month or so I didn&#039;t notice any changes but recently, about 3 months in I&#039;ve been getting headaches, horrible nausea and stomach cramps &amp; my period has gone back to being longer than shorter like it was on the first pill. I&#039;ve never been one to feel unmotivated, lethargic, depressed, or anxious, but as of recently I&#039;ve been experiencing all those things which is no doubt making stress induced nausea worse and have just generally felt bad. I went to my doctor and had multiple blood tests taken and some other tests but all came back with no abnormalities, leading me to realize it was change in birth control. Ups? Worked and no breast tenderness. But thats it.""",2,"August 22, 2015",5,-7,3,10
"gianvi five years minimal issues developed bilateral pulmonary embolisms blood clots lungs thing doctors find developed blood clots birth control pill gianvi research fact discovered hormone used gianvi drospirenone makes likely develop blood clots compared birth control pills drospirenone taken pill known higher chance developing potentially deadly blood clots",111745,"Gianvi","Birth Control","""I was on Gianvi for about five years with minimal issues until I developed bilateral pulmonary embolisms (blood clots in my lungs).  The only thing that the doctors could find as to why I developed the blood clots was my birth control pill (Gianvi).  After doing some research after the fact, I discovered that the hormone used in Gianvi, drospirenone, makes you more likely to develop blood clots as compared to other birth control pills that do no have drospirenone.  I would have not taken this pill had I known that I had a higher chance of developing potentially deadly blood clots.""",1,"January 18, 2017",2,-2,0,2
"gianvi months stopped taking gave mood swings caused break reason wanted take first place sex drive really low first month got back normal terrible cramps actually helped alot awful time tryin concentrate things just made feel crazy",111770,"Gianvi","Birth Control","""Was on Gianvi for 2 months. Stopped taking it because it gave me mood swings, and caused me to break out more (which was the reason I wanted to take it in the first place). My sex drive was really low the first month, but it got back to normal. I had terrible cramps before, and this actually helped alot. I had an awful time tryin to concentrate on things, and over all it just made me feel crazy... :(""",5,"December 17, 2015",0,-3,1,4
"gianvi two years just stopped taking side effects getting pro cheap cleared ache prevented pregnancy several months reduced migraines felt mood changes con time migraines got horrible frequent breasts increased cup size felt constant brain fog constant breakthrough bleeding started triggering bacterial vaginosis infections got vaginal dryness think may work arent sensitive hormones",111860,"Gianvi","Birth Control","""I was on Gianvi for two years and just stopped taking it because side effects were getting to me. PRO: cheap, cleared up my ache and prevented pregnancy. For several months it reduced my migraines and I felt no mood changes. CON: Over time, my migraines got horrible and more frequent, breasts increased a cup size, felt in a constant &#039;brain fog&#039;, had constant breakthrough bleeding that started triggering bacterial vaginosis infections and got vaginal dryness. I think this may work for you if you aren&#039;t sensitive to hormones.""",6,"December 4, 2012",6,-1,4,5
